Generating SQLite file nsys.743227.r20.w.sqlite from nsys.743227.r20.w.qdrep
Using nsys.743227.r20.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.743227.r20.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    53.4      69222452975      13489    5131770.6     9367    64169923  cudaEventSynchronize        
     8.0      10434501312     640333      16295.4     8171    15137977  cuLaunchKernel              
     7.6       9809033884     621019      15795.1     9162     6100930  cudaLaunchKernel            
     5.9       7668973436    4478849       1712.3      959    39371418  cuEventQuery                
     4.9       6376173082     600117      10624.9     5385   399319834  cuMemcpyHtoDAsync_v2        
     4.4       5726912131          8  715864016.4     3947  5726880126  cudaStreamCreateWithFlags   
     3.3       4335911509     317829      13642.3     3683   410914307  cuMemsetD32Async            
     3.3       4296272540     262731      16352.4    11734    29906455  cudaMemcpyAsync             
     1.7       2153102602       1335    1612810.9     9439   114748694  cuModuleUnload              
     1.3       1688044187         60   28134069.8     1123  1034520104  cudaFree                    
     1.3       1627544763        890    1828702.0     8131  1617387883  cuMemAlloc_v2               
     1.1       1366034763     135352      10092.5      570     9890728  cuEventDestroy_v2           
     0.9       1186614847     292374       4058.6     1599     7230448  cudaEventRecord             
     0.7        873575410      53674      16275.6     6738   190256646  cudaMemsetAsync             
     0.4        559997249        354    1581913.1    50553    11914218  cuEventSynchronize          
     0.4        530218897     295066       1797.0      810     1943779  cuEventRecord               
     0.3        430524881        899     478893.1    97682    45116014  cuModuleLoadFatBinary       
     0.3        361465656         32   11295801.8    17636    49459708  cudaIpcOpenMemHandle        
     0.2        241746655       6947      34798.7     6180     7989710  cuMemcpyDtoHAsync_v2        
     0.2        205263382     103287       1987.3      828     1643528  cuStreamWaitEvent           
     0.2        199138022     135375       1471.0      742     2063740  cuEventCreate               
     0.1        117826945         60    1963782.4     9200    14332661  cudaMalloc                  
     0.1        100337121          9   11148569.0   884608    58176070  cuMemHostAlloc              
     0.1         69273179       3445      20108.3    12078       78038  cuMemcpyDtoDAsync_v2        
     0.0         64374767         32    2011711.5    24203    17234238  cudaIpcCloseMemHandle       
     0.0         15509311        951      16308.4    10136       60760  cuCtxSynchronize            
     0.0         13292446        889      14952.1    12790      340388  cuMemFree_v2                
     0.0         10453954       1758       5946.5     4627       20337  cuStreamSynchronize         
     0.0          2500373         10     250037.3     3125     2424441  cuStreamCreate              
     0.0          1397640         11     127058.2    14784      696115  cudaHostAlloc               
     0.0          1180701        194       6086.1     3492       28581  cudaBindTexture             
     0.0           898189         50      17963.8     8383       43916  cudaMemset                  
     0.0           421235          2     210617.5   182772      238463  cuMemGetInfo_v2             
     0.0           388238         58       6693.8     6044        9225  cudaEventQuery              
     0.0           359413         20      17970.7    14425       43403  cudaMemcpy                  
     0.0           319968        194       1649.3     1097        5719  cudaUnbindTexture           
     0.0           308288         10      30828.8    18858       87654  cudaFreeHost                
     0.0           102666         57       1801.2     1106        6584  cudaEventCreateWithFlags    
     0.0            56578          5      11315.6     3764       40774  cudaStreamCreateWithPriority
     0.0            54755          2      27377.5    26189       28566  cuMemsetD32_v2              
     0.0            29118          1      29118.0    29118       29118  cudaStreamSynchronize       
     0.0             5517          4       1379.3     1074        1787  cuInit                      
     0.0             4414          1       4414.0     4414        4414  cudaStreamWaitEvent         
     0.0             3832          1       3832.0     3832        3832  cudaEventDestroy            

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.743227.r20.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
    24.9      26593786726      13489  1971516.5    35776  64451612  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
     7.4       7855848461      28437   276254.5   180319    585213  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x32x1_1x1x1x0x1                                     
     4.9       5248264812      20073   261458.9   171359    423517  volta_s884cudnn_fp16_128x128_ldg8_wgrad_idx_exp_interior_nhwc_nt                                    
     4.4       4713830573      10874   433495.5   322494    794940  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                               
     3.7       3944764174      20071   196540.5   166399    375293  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     3.3       3529053294      11709   301396.6   204255    466302  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     2.4       2529278264       7528   335982.8   317918    429598  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
