Generating SQLite file nsys.759017.r29.w.sqlite from nsys.759017.r29.w.qdrep
Using nsys.759017.r29.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.759017.r29.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum    Maximum                Name            
 -------  ---------------  ---------  -----------  --------  ----------  ----------------------------
    39.0      25527052917        562   45421802.3  37114529    89664292  cuModuleLoadDataEx          
    18.9      12371354023       3549    3485870.4      8773    13489426  cudaEventSynchronize        
    17.4      11419440528       1495    7638421.8      4634    64881967  cuStreamSynchronize         
     4.0       2638404230     186184      14171.0      8933     1673659  cudaLaunchKernel            
     3.8       2494970992     186854      13352.5      8113     3281580  cuLaunchKernel              
     3.3       2189635375          8  273704421.9      3592  2189604405  cudaStreamCreateWithFlags   
     2.7       1746903493        978    1786199.9      8521   111470029  cuModuleUnload              
     2.4       1549683399         10  154968339.9      1020  1005456387  cudaFree                    
     1.6       1065249035      66223      16085.8     12197     8737041  cudaMemcpyAsync             
     1.2        774520503      35274      21957.3       525   193252713  cuMemcpyHtoDAsync_v2        
     1.0        663992087          8   82999010.9   2611444   456303146  cuMemHostAlloc              
     0.9        612828835      80644       7599.2      3768      495293  cuMemsetD32Async            
     0.8        552977576        563     982198.2      7884   547011156  cuMemAlloc_v2               
     0.6        405100897        312    1298400.3     55296     9130596  cuEventSynchronize          
     0.5        309834581      34473       8987.7       588     3837687  cuEventDestroy_v2           
     0.4        259770097      74364       3493.2      1582      889717  cudaEventRecord             
     0.3        222503532      41960       5302.8       918       82110  cuEventQuery                
     0.2        139509587      13322      10472.1      6470      106598  cudaMemsetAsync             
     0.2        126495183       2950      42879.7      6761     1181200  cuMemcpyDtoHAsync_v2        
     0.2        125946079          5   25189215.8    893738    43960139  cuModuleLoadFatBinary       
     0.1         91264368          8   11408046.0     17314    34707883  cudaIpcOpenMemHandle        
     0.1         73074409      42615       1714.8       863      562181  cuEventRecord               
     0.1         38602272      34491       1119.2       750      322016  cuEventCreate               
     0.0         28409438         28    1014622.8      7708     7371610  cudaMalloc                  
     0.0         13993109         11    1272100.8     16187     7114075  cudaHostAlloc               
     0.0         12339691        845      14603.2     12268       47614  cuMemcpyDtoDAsync_v2        
     0.0         10775099       4350       2477.0      1014      135541  cuStreamWaitEvent           
     0.0          7609898        562      13540.7     12384      170588  cuMemFree_v2                
     0.0          3826599        295      12971.5      9527       51005  cuCtxSynchronize            
     0.0          1474956         78      18909.7      3218      856516  cuStreamCreate              
     0.0          1000210         68      14709.0     11284       21788  cuStreamDestroy_v2          
     0.0           911260          8     113907.5     30897      352992  cudaHostRegister            
     0.0           764611        116       6591.5      4511       28215  cudaBindTexture             
     0.0           347423          2     173711.5    169797      177626  cuMemGetInfo_v2             
     0.0           343290         18      19071.7      7968       39912  cudaMemset                  
     0.0           319110         60       5318.5      4927        8696  cudaEventQuery              
     0.0           227873        116       1964.4      1464       12015  cudaUnbindTexture           
     0.0           219998         12      18333.2     13998       33213  cudaMemcpy                  
     0.0            93411         54       1729.8      1080        4726  cudaEventCreateWithFlags    
     0.0            60889          2      30444.5     17181       43708  cuMemsetD32_v2              
     0.0            35217          5       7043.4      3685       19853  cudaStreamCreateWithPriority
     0.0             7060          4       1765.0       930        2574  cuInit                      
     0.0             3170          1       3170.0      3170        3170  cudaStreamWaitEvent         

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.759017.r29.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                  Name                                                
 -------  ---------------  ---------  ---------  -------  -------  ----------------------------------------------------------------------------------------------------
    16.3       4115291983      13828   297605.7   172447   610970  volta_fp16_s884cudnn_fp16_128x128_ldg8_relu_f2f_exp_interior_nhwc_tn_v1                             
    15.7       3958338679       3549  1115339.2    35264  7761587  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
     7.0       1771101273       6920   255939.5   170750   426971  volta_s884cudnn_fp16_128x128_ldg8_wgrad_idx_exp_interior_nhwc_nt                                    
     5.7       1440613375       3979   362054.1   236382   549531  volta_s884cudnn_fp16_64x64_sliced1x4_ldg8_wgrad_idx_exp_interior_nhwc_nt                            
     4.6       1171561514       2723   430246.6   318941   792025  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                               
     3.4        854747076       2305   370823.0   329725   489147  volta_fp16_s884cudnn_fp16_128x128_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                
     1.3        336600688        415   811086.0     2912  1643312  fusion_238                                                                                          
     1.3        326370813        633   515593.7   385116   620794  dgrad_1x1_stride_2x2                                                                                
     1.3        326353654        206  1584241.0  1558544  1778318  select_and_scatter_4363                                                                             
     1.1        275836999        415   664667.5     8416  1354675  fusion_237                                                                                          
     1.1        275742826        418   659671.8     5184  1336755  fusion_254                                                                                          
     1.1        273326149        418   653890.3     2944  1331506  fusion_269                                                                                          
     1.0        259165343        628   412683.7   395132   473243  volta_fp16_s884cudnn_fp16_256x64_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                 
     1.0        255583280        628   406979.7   392988   457788  volta_fp16_s884cudnn_fp16_256x64_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                                
     0.9        218018542        418   521575.5     2912  1062965  fusion_219                                                                                          
     0.8        211218349        422   500517.4   494715   577946  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                
     0.8        190585763      33649     5663.9     2911    39007  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.7        173595160      33649     5159.0     2911    39295  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.7        165331800        415   398389.9     2943   807032  fusion_287                                                                                          
     0.6        155332737        418   371609.4     2880   792536  fusion_220                                                                                          
     0.6        153395927        630   243485.6   117919   428220  void foldedNhwcToNhwcKernel<__half, __half, float, true>(int, int, int, int, int, int, int, __half …
     0.6        153058502        418   366168.7     2976   741785  fusion_253                                                                                          
     0.6        153049673        418   366147.5     2944   741177  fusion_268                                                                                          
     0.6        153005228        209   732082.4     3648   748088  fusion_820                                                                                          
     0.6        151932817        206   737537.9   734905   741625  fusion_778                                                                                          
     0.6        151716374        209   725915.7     3680   740857  fusion_799                                                                                          
     0.6        143459150        210   683138.8   676985   792632  void first_layer_fwd_kernel<4, 7, 7, 64>(FirstLayerFwdParams)                                       
     0.6        142454879        210   678356.6   671866   784185  void first_layer_wgrad_kernel<7, 7, 2, 2, 64>(FirstLayerWgradParams)                                
     0.6        141763427        210   675063.9   663129   701273  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_f2f_exp_interior_nhwc_tn_v1                             
     0.5        138471014        415   333665.1     2911   685498  fusion_286                                                                                          
     0.5        136601333        418   326797.4     2944   672089  fusion_303                                                                                          
     0.5        135837730        418   324970.6     2975   668121  fusion_318                                                                                          
     0.5        134538672        209   643725.7   127934   660858  fusion_333                                                                                          
     0.5        131928321         30  4397610.7  2197578  8197679  void cudnn::detail::wgrad_alg0_engine_NHWC<__half, 128, 6, 8, 3, 3, 5, true, 512>(int, int, int, __…
     0.5        115220675        418   275647.5     3327   558554  fusion_273                                                                                          
     0.4        108169495      10899     9924.7     8160    21375  void convertTensor_kernel<float, __half, float>(float, float const*, float, __half*, unsigned long) 
     0.4        105452870        206   511907.1   511099   513499  fusion_847                                                                                          
     0.4        102842430         48  2142550.6  1241972  3219392  void cudnn::detail::convolve_common_engine_float_NHWC<__half, __half, 512, 6, 8, 3, 3, 5, true, tru…
     0.4         89877909        209   430037.8   425852   470427  reduce_window_1393                                                                                  
     0.4         89532770        418   214193.2     2944   739608  fusion_274                                                                                          
     0.3         84686725        206   411100.6   405020   418364  fusion_351                                                                                          
     0.3         79473401        418   190127.8     3360   372957  fusion_302                                                                                          
     0.3         79326721       1720    46120.2    44352    51295  redzone_checker                                                                                     
     0.3         77167908        418   184612.2     3168   372541  fusion_317                                                                                          
